name,artists,release_date,genres,common_genre,duration,popularity,source_genre,lines_count,word_count,unique_words,stopwords_count,avg_word_length,chorus_count,verse_count,neg,neu,pos,compound
Your Soul,Hippie Sabotage,2014-09-16,"['edm', 'electronic trap']",electronic,324806,62,Electronic,40,228,38,114,4.276315789473684,0,3,0.0,0.955,0.045,0.7536
Neck And Neck - DNMO Remix,Zeds Dead,2017-06-09,"['brostep', 'canadian electronic', 'dubstep', 'edm', 'electro house', 'progressive electro house']",electronic,182400,61,Electronic,42,174,87,65,4.120689655172414,1,2,0.07,0.848,0.082,0.2728
Mercy (2022 Edit),What So Not,2022-09-16,"['aussietronica', 'brostep', 'edm', 'electro house', 'electronic trap', 'escape room', 'vapor twitch']",electronic,197142,59,Electronic,55,348,129,170,3.9080459770114944,2,2,0.18,0.594,0.227,0.9497
Worlds Away,Dabin,2023-06-16,"['canadian electronic', 'melodic dubstep', 'pop edm']",electronic,250400,60,Electronic,64,294,113,167,4.197278911564626,2,2,0.026,0.874,0.1,0.9793
Only,Nine Inch Nails,2005-05-03,"['alternative metal', 'alternative rock', 'cyberpunk', 'electronic rock', 'industrial', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge', 'rock']",rock,263093,58,Electronic,69,365,157,231,3.8684931506849316,3,1,0.17,0.759,0.071,-0.9902
oh baby,LCD Soundsystem,2017-09-01,"['alternative dance', 'alternative rock', 'art pop', 'dance rock', 'dance-punk', 'electronic rock', 'electronica', 'indie rock', 'indietronica', 'neo-synthpop', 'new rave']",rock,349693,60,Electronic,22,76,53,29,3.5526315789473686,3,1,0.126,0.586,0.288,0.9542
Someone Great,LCD Soundsystem,2007-03-12,"['alternative dance', 'alternative rock', 'art pop', 'dance rock', 'dance-punk', 'electronic rock', 'electronica', 'indie rock', 'indietronica', 'neo-synthpop', 'new rave']",rock,390013,60,Electronic,27,150,102,85,4.2,3,0,0.145,0.738,0.118,-0.5722
Gyrate (ft. Wreckno),Rezz,2023-01-13,"['brostep', 'canadian electronic', 'edm', 'electra', 'electro house']",electronic,176000,59,Electronic,15,53,13,22,3.6792452830188678,0,0,0.0,0.957,0.043,0.0516
Thief,Ookay,2016-09-02,"['brostep', 'dubstep', 'edm', 'electro house', 'electronic trap']",electronic,239711,58,Electronic,23,123,64,63,4.203252032520325,1,2,0.299,0.635,0.065,-0.9847
Hearing Damage,Thom Yorke,2009-10-01,"['alternative rock', 'art pop', 'art rock', 'electronica', 'glitch pop', 'indie rock', 'oxford indie']",rock,303360,62,Electronic,33,147,63,85,3.802721088435374,2,1,0.188,0.696,0.116,-0.8381
Every Day Is Exactly The Same,Nine Inch Nails,2005-05-03,"['alternative metal', 'alternative rock', 'cyberpunk', 'electronic rock', 'industrial', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge', 'rock']",rock,294893,58,Electronic,45,297,126,163,3.9494949494949494,2,3,0.143,0.752,0.104,-0.6705
The Veldt - Radio Edit,deadmau5,2012-05-06,"['canadian electronic', 'complextro', 'edm', 'electro house', 'pop dance', 'progressive house']",electronic,170059,58,Electronic,32,149,62,78,4.221476510067114,0,0,0.031,0.84,0.128,0.9432
When She Dance,Jayda G,2023-06-09,['canadian electronic'],electronic,202375,60,Electronic,73,350,92,143,4.345714285714286,1,3,0.154,0.782,0.064,-0.9809
Wrong Time,Hippie Sabotage,2020-01-24,"['edm', 'electronic trap']",electronic,170387,60,Electronic,46,400,157,213,3.85,3,1,0.152,0.688,0.16,0.658
Since I Left You,The Avalanches,2000-11-27,"['australian alternative rock', 'australian dance', 'collage pop', 'electronica', 'indietronica', 'new rave', 'psychedelic hip-hop']",alternative,262840,58,Electronic,19,85,24,39,3.8117647058823527,0,0,0.0,0.822,0.178,0.936
